DATE,HOANBS
1947-01-01,46.322
1947-04-01,46.334
1947-07-01,46.456
1947-10-01,46.906
1948-01-01,47.204
1948-04-01,47.185
1948-07-01,47.517
1948-10-01,47.076
1949-01-01,46.279
1949-04-01,45.508
1949-07-01,45.027
1949-10-01,44.843
1950-01-01,45.194
1950-04-01,46.315
1950-07-01,47.777
1950-10-01,48.218
1951-01-01,49.031
1951-04-01,49.426
1951-07-01,48.938
1951-10-01,48.961
1952-01-01,49.276
1952-04-01,49.070
1952-07-01,49.424
1952-10-01,50.750
1953-01-01,51.277
1953-04-01,51.368
1953-07-01,50.857
1953-10-01,50.053
1954-01-01,49.378
1954-04-01,49.005
1954-07-01,48.814
1954-10-01,49.423
1955-01-01,50.222
1955-04-01,50.878
1955-07-01,51.408
1955-10-01,52.028
1956-01-01,52.344
1956-04-01,52.460
1956-07-01,52.249
1956-10-01,52.537
1957-01-01,52.586
1957-04-01,52.474
1957-07-01,52.220
1957-10-01,51.135
1958-01-01,49.981
1958-04-01,49.250
1958-07-01,49.845
1958-10-01,50.591
1959-01-01,51.573
1959-04-01,52.553
1959-07-01,52.400
1959-10-01,52.409
1960-01-01,52.738
1960-04-01,52.824
1960-07-01,52.525
1960-10-01,52.037
1961-01-01,51.744
1961-04-01,51.624
1961-07-01,51.927
1961-10-01,52.590
1962-01-01,52.783
1962-04-01,53.412
1962-07-01,53.300
1962-10-01,52.963
1963-01-01,53.283
1963-04-01,53.621
1963-07-01,53.766
1963-10-01,54.186
1964-01-01,55.229
1964-04-01,55.468
1964-07-01,55.825
1964-10-01,56.370
1965-01-01,57.248
1965-04-01,57.815
1965-07-01,57.955
1965-10-01,58.505
1966-01-01,59.349
1966-04-01,59.932
1966-07-01,60.213
1966-10-01,60.054
1967-01-01,59.984
1967-04-01,59.616
1967-07-01,59.813
1967-10-01,60.084
1968-01-01,60.190
1968-04-01,60.767
1968-07-01,61.193
1968-10-01,61.572
1969-01-01,62.146
1969-04-01,62.722
1969-07-01,63.024
1969-10-01,62.833
1970-01-01,62.581
1970-04-01,61.756
1970-07-01,61.444
1970-10-01,60.972
1971-01-01,61.259
1971-04-01,61.459
1971-07-01,61.459
1971-10-01,62.119
1972-01-01,62.818
1972-04-01,63.274
1972-07-01,63.632
1972-10-01,64.298
1973-01-01,65.266
1973-04-01,65.953
1973-07-01,66.399
1973-10-01,66.729
1974-01-01,66.442
1974-04-01,66.618
1974-07-01,66.384
1974-10-01,65.287
1975-01-01,63.234
1975-04-01,62.651
1975-07-01,63.222
1975-10-01,64.312
1976-01-01,65.370
1976-04-01,65.396
1976-07-01,65.657
1976-10-01,66.012
1977-01-01,66.711
1977-04-01,67.985
1977-07-01,68.713
1977-10-01,69.387
1978-01-01,69.711
1978-04-01,71.744
1978-07-01,72.345
1978-10-01,73.222
1979-01-01,73.745
1979-04-01,73.978
1979-07-01,74.660
1979-10-01,74.817
1980-01-01,74.629
1980-04-01,73.264
1980-07-01,72.923
1980-10-01,73.909
1981-01-01,74.328
1981-04-01,74.385
1981-07-01,74.325
1981-10-01,73.994
1982-01-01,72.727
1982-04-01,73.070
1982-07-01,72.540
1982-10-01,71.858
1983-01-01,72.307
1983-04-01,73.154
1983-07-01,74.627
1983-10-01,76.028
1984-01-01,77.493
1984-04-01,78.500
1984-07-01,78.832
1984-10-01,79.336
1985-01-01,79.968
1985-04-01,80.507
1985-07-01,80.732
1985-10-01,81.138
1986-01-01,81.010
1986-04-01,80.795
1986-07-01,81.205
1986-10-01,81.815
1987-01-01,82.832
1987-04-01,83.287
1987-07-01,83.863
1987-10-01,84.741
1988-01-01,84.824
1988-04-01,86.029
1988-07-01,86.250
1988-10-01,87.220
1989-01-01,88.087
1989-04-01,88.421
1989-07-01,88.616
1989-10-01,88.615
1990-01-01,88.877
1990-04-01,88.483
1990-07-01,88.017
1990-10-01,87.632
1991-01-01,86.781
1991-04-01,86.241
1991-07-01,86.139
1991-10-01,85.992
1992-01-01,85.488
1992-04-01,85.822
1992-07-01,85.956
1992-10-01,86.505
1993-01-01,87.277
1993-04-01,88.296
1993-07-01,88.791
1993-10-01,89.633
1994-01-01,90.174
1994-04-01,91.666
1994-07-01,92.733
1994-10-01,93.113
1995-01-01,93.552
1995-04-01,93.416
1995-07-01,94.501
1995-10-01,94.724
1996-01-01,94.901
1996-04-01,95.806
1996-07-01,96.592
1996-10-01,97.697
1997-01-01,98.536
1997-04-01,99.004
1997-07-01,99.576
1997-10-01,100.036
1998-01-01,100.672
1998-04-01,101.198
1998-07-01,101.311
1998-10-01,102.559
1999-01-01,102.403
1999-04-01,102.988
1999-07-01,103.628
1999-10-01,104.060
2000-01-01,104.618
2000-04-01,104.811
2000-07-01,104.874
2000-10-01,104.453
2001-01-01,104.400
2001-04-01,103.267
2001-07-01,102.152
2001-10-01,100.969
2002-01-01,100.079
2002-04-01,100.359
2002-07-01,100.024
2002-10-01,100.124
2003-01-01,99.590
2003-04-01,99.325
2003-07-01,99.488
2003-10-01,99.938
2004-01-01,100.374
2004-04-01,100.480
2004-07-01,101.075
2004-10-01,101.616
2005-01-01,101.822
2005-04-01,102.457
2005-07-01,102.679
2005-10-01,103.358
2006-01-01,104.363
2006-04-01,104.618
2006-07-01,105.189
2006-10-01,105.547
2007-01-01,105.575
2007-04-01,106.001
2007-07-01,105.626
2007-10-01,105.370
2008-01-01,105.057
2008-04-01,104.462
2008-07-01,103.271
2008-10-01,100.746
2009-01-01,98.147
2009-04-01,95.955
2009-07-01,94.863
2009-10-01,94.882
2010-01-01,94.854
2010-04-01,95.691
2010-07-01,96.217
2010-10-01,96.631
2011-01-01,96.792
2011-04-01,97.602
2011-07-01,97.977
2011-10-01,98.728
2012-01-01,99.541
2012-04-01,99.667
2012-07-01,100.138
2012-10-01,100.650
2013-01-01,101.094
2013-04-01,101.451
2013-07-01,101.956
2013-10-01,102.324
2014-01-01,102.827
2014-04-01,103.570
2014-07-01,104.257
2014-10-01,105.426
2015-01-01,105.649
2015-04-01,106.166
2015-07-01,106.144
2015-10-01,106.993
2016-01-01,107.291
2016-04-01,107.662
2016-07-01,107.936
2016-10-01,108.177
2017-01-01,108.575
2017-04-01,109.180
2017-07-01,109.502
2017-10-01,110.392
2018-01-01,110.940
2018-04-01,111.509
2018-07-01,112.123
2018-10-01,112.438
2019-01-01,112.559
2019-04-01,112.406
2019-07-01,113.105
2019-10-01,113.420
